grad_step,syncs,since_sync,flip_vs_prev,flip_vs_ref,recent100
21600,21,600,0.0234375,0.060546875,54.13846153846154
21700,21,700,0.01171875,0.060546875,54.13846153846154
21800,21,800,0.087890625,0.1328125,54.13846153846154
21900,21,900,0.099609375,0.064453125,55.303030303030305
22000,22,0,0.029296875,0.0703125,55.303030303030305
22100,22,100,0.0234375,0.0546875,55.303030303030305
22200,22,200,0.013671875,0.056640625,54.91044776119403
22300,22,300,0.015625,0.060546875,54.91044776119403
22400,22,400,0.013671875,0.05859375,54.91044776119403
22500,22,500,0.0859375,0.12890625,54.64705882352941
22600,22,600,0.02734375,0.12890625,54.64705882352941
22700,22,700,0.015625,0.1328125,54.34782608695652
22800,22,800,0.017578125,0.134765625,53.0
22900,22,900,0.02734375,0.126953125,52.31944444444444
23000,23,0,0.021484375,0.1328125,51.067567567567565
23100,23,100,0.01171875,0.125,51.067567567567565
23200,23,200,0.015625,0.125,50.77333333333333
23300,23,300,0.021484375,0.138671875,50.77333333333333
23400,23,400,0.015625,0.130859375,50.77333333333333
23500,23,500,0.083984375,0.06640625,50.77333333333333
23600,23,600,0.017578125,0.060546875,50.09090909090909
23700,23,700,0.095703125,0.13671875,50.09090909090909
23800,23,800,0.08984375,0.06640625,49.69230769230769
23900,23,900,0.0234375,0.0625,49.69230769230769
24000,24,0,0.111328125,0.134765625,49.69230769230769
24100,24,100,0.091796875,0.07421875,49.53164556962025
24200,24,200,0.02734375,0.0703125,49.0
24300,24,300,0.015625,0.0625,49.0
24400,24,400,0.013671875,0.068359375,49.0
24500,24,500,0.03515625,0.076171875,49.0
24600,24,600,0.03125,0.072265625,49.0
24700,24,700,0.025390625,0.078125,49.22222222222222
24800,24,800,0.021484375,0.076171875,49.22222222222222
24900,24,900,0.015625,0.072265625,49.22222222222222
25000,25,0,0.013671875,0.0703125,49.109756097560975
25100,25,100,0.017578125,0.064453125,49.109756097560975
25200,25,200,0.01171875,0.068359375,48.8433734939759
25300,25,300,0.009765625,0.06640625,48.8433734939759
25400,25,400,0.0234375,0.06640625,48.8433734939759
25500,25,500,0.01171875,0.0703125,48.8433734939759
25600,25,600,0.029296875,0.060546875,48.8433734939759
25700,25,700,0.017578125,0.0625,48.8433734939759
25800,25,800,0.037109375,0.076171875,48.8433734939759
25900,25,900,0.025390625,0.06640625,48.13953488372093
26000,26,0,0.01953125,0.06640625,48.13953488372093
26100,26,100,0.01953125,0.06640625,48.13953488372093
26200,26,200,0.099609375,0.138671875,48.13953488372093
26300,26,300,0.09375,0.068359375,48.13953488372093
26400,26,400,0.03125,0.076171875,48.13953488372093
26500,26,500,0.03125,0.076171875,48.13953488372093
26600,26,600,0.017578125,0.078125,48.13953488372093
26700,26,700,0.005859375,0.076171875,48.13953488372093
26800,26,800,0.015625,0.080078125,48.13953488372093
26900,26,900,0.009765625,0.08203125,49.01149425287356
27000,27,0,0.080078125,0.146484375,49.01149425287356
